Miasto	Powiat	Województwo	Powierzchnia [ha] (01.01.2020)	Liczba ludności (01.01.2020)	Gęstość zaludnienia [osoby/km²] (01.01.2020)
Lądek-Zdrój	kłodzki	dolnośląskie	2032	5557	273
Legionowo	legionowski	mazowieckie	1354	53886	3980
Legnica	Legnica[a]	dolnośląskie	5629	99350	1765
Lesko	leski	podkarpackie	1533	5432	354
Leszno	Leszno[a]	wielkopolskie	3186	63505	1993
Leśna	lubański	dolnośląskie	856	4394	513
Leśnica	strzelecki	opolskie	1450	2555	176
Lewin Brzeski	brzeski	opolskie	1164	5722	492
Leżajsk	leżajski	podkarpackie	2058	13799	671
Lębork	lęborski	pomorskie	1786	35273	1975
Lędziny	bieruńsko-lędziński	śląskie	3165	16798	531
Libiąż	chrzanowski	małopolskie	3585	17003	474
Lidzbark	działdowski	warmińsko-mazurskie	568	7741	1363
Lidzbark Warmiński	lidzbarski	warmińsko-mazurskie	1435	15697	1094
Limanowa	limanowski	małopolskie	1870	15162	811
Lipiany	pyrzycki	zachodniopomorskie	554	3908	705
Lipno	lipnowski	kujawsko-pomorskie	1099	14371	1308
Lipsk	augustowski	podlaskie	498	2310	464
Lipsko	lipski	mazowieckie	1570	5455	347
Lubaczów	lubaczowski	podkarpackie	2573	11970	465
Lubań	lubański	dolnośląskie	1612	20965	1301
Lubartów	lubartowski	lubelskie	1391	21828	1569
Lubawa	iławski	warmińsko-mazurskie	1684	10388	617
Lubawka	kamiennogórski	dolnośląskie	2244	5989	267
Lubień Kujawski	włocławski	kujawsko-pomorskie	231	1394	603
Lubin	lubiński	dolnośląskie	4077	72300	1773
Lublin	Lublin[a]	lubelskie	14747	339784	2304
Lubliniec	lubliniecki	śląskie	8936	23757	266
Lubniewice	sulęciński	lubuskie	1211	2082	172
Lubomierz	lwówecki	dolnośląskie	805	2004	249
Luboń	poznański	wielkopolskie	1351	31941	2364
Lubowidz	żuromiński	mazowieckie	527	1651	313
Lubraniec	włocławski	kujawsko-pomorskie	197	3012	1529
Lubsko	żarski	lubuskie	1251	13876	1109
Lubycza Królewska	tomaszowski	lubelskie	392	2440	622
Lututów	wieruszowski	łódzkie	1895	2232	118
Lwówek	nowotomyski	wielkopolskie	316	2954	935
Lwówek Śląski	lwówecki	dolnośląskie	1665	8822	530
Łabiszyn	żniński	kujawsko-pomorskie	289	4469	1546
Łagów	kielecki	świętokrzyskie	822	1562	190
Łańcut	łańcucki	podkarpackie	1942	17711	912
Łapy	białostocki	podlaskie	1214	15541	1280
Łasin	grudziądzki	kujawsko-pomorskie	479	3197	667
Łask	łaski	łódzkie	1567	17143	1094
Łaskarzew	garwoliński	mazowieckie	1535	4829	315
Łaszczów	tomaszowski	lubelskie	501	2128	425
Łaziska Górne	mikołowski	śląskie	2007	22215	1105
Łazy	zawierciański	śląskie	860	6798	790
Łeba	lęborski	pomorskie	1656	3601	217
Łęczna	łęczyński	lubelskie	1900	18820	991
Łęczyca	łęczycki	łódzkie	895	13971	1561
Łęknica	żarski	lubuskie	1643	2459	150
Łobez	łobeski	zachodniopomorskie	1284	10066	784
Łobżenica	pilski	wielkopolskie	325	2952	908
Łochów	węgrowski	mazowieckie	1339	6838	511
Łomianki	warszawski zachodni	mazowieckie	840	17042	2029
Łomża	Łomża[a]	podlaskie	3267	62945	1927
Łosice	łosicki	mazowieckie	2374	7042	297
Łowicz	łowicki	łódzkie	2342	28224	1205
Łódź	Łódź[a]	łódzkie	29325	679941	2319
Łuków	łukowski	lubelskie	3575	29728	832
Maków Mazowiecki	makowski	mazowieckie	1028	9711	945
Maków Podhalański	suski	małopolskie	2012	5824	289
Malbork	malborski	pomorskie	1716	38345	2235
Małogoszcz	jędrzejowski	świętokrzyskie	968	3726	385
Małomice	żagański	lubuskie	675	3480	516
Margonin	chodzieski	wielkopolskie	515	2983	579
Marki	wołomiński	mazowieckie	2615	35461	1356
Maszewo	goleniowski	zachodniopomorskie	554	3363	607
Miasteczko Śląskie	tarnogórski	śląskie	6783	7442	110
Miastko	bytowski	pomorskie	568	10384	1828
Michałowo	białostocki	podlaskie	215	3011	1400
Miechów	miechowski	małopolskie	1549	11569	747
Miejska Górka	rawicki	wielkopolskie	314	3198	1018
Mielec	mielecki	podkarpackie	4689	60323	1286
Mielno	koszaliński	zachodniopomorskie	3345	2914	87
Mieroszów	wałbrzyski	dolnośląskie	1031	4045	392
Mieszkowice	gryfiński	zachodniopomorskie	525	3612	688
Międzybórz	oleśnicki	dolnośląskie	641	2354	367
Międzychód	międzychodzki	wielkopolskie	698	10587	1517
Międzylesie	kłodzki	dolnośląskie	1437	2561	178
Międzyrzec Podlaski	bialski	lubelskie	2003	16753	836
Międzyrzecz	międzyrzecki	lubuskie	1026	17839	1739
Międzyzdroje	kamieński	zachodniopomorskie	516	5343	1035
Mikołajki	mrągowski	warmińsko-mazurskie	932	3787	406
Mikołów	mikołowski	śląskie	7921	41014	518
Mikstat	ostrzeszowski	wielkopolskie	252	1845	732
Milanówek	grodziski	mazowieckie	1344	16416	1221
Milicz	milicki	dolnośląskie	1350	11312	838
Miłakowo	ostródzki	warmińsko-mazurskie	876	2540	290
Miłomłyn	ostródzki	warmińsko-mazurskie	1238	2427	196
Miłosław	wrzesiński	wielkopolskie	407	3551	872
Mińsk Mazowiecki	miński	mazowieckie	1318	40999	3111
Mirosławiec	wałecki	zachodniopomorskie	241	3066	1272
Mirsk	lwówecki	dolnośląskie	1466	3814	260
Mława	mławski	mazowieckie	3480	31246	898
Młynary	elbląski	warmińsko-mazurskie	276	1765	639
Modliborzyce	janowski	lubelskie	789	1459	185
Mogielnica	grójecki	mazowieckie	1298	2237	172
Mogilno	mogileński	kujawsko-pomorskie	832	11786	1417
Mońki	moniecki	podlaskie	766	9984	1303
Morawica	kielecki	świętokrzyskie	438	1716	392
Morąg	ostródzki	warmińsko-mazurskie	611	13701	2242
Mordy	siedlecki	mazowieckie	454	1750	385
Moryń	gryfiński	zachodniopomorskie	554	1629	294
