Miejscowość             Długość        Szerokość
Huszlew                 22°50'E        52°08'N
Hyżne                   22°11'E        49°55'N
Igołomia-Wawrzeńczyce   20°18'E        50°06'N
Iława                   19°34'E        53°36'N
Iłowa                   15°12'E        51°30'N
Iłowo-Osada             20°18'E        53°10'N
Iłów                    20°02'E        52°21'N
Iłża                    21°15'E        51°10'N
Imielno                 20°26'E        50°35'N
Inowłódz                20°13'E        51°32'N
Inowrocław              18°15'E        52°48'N
Ińsko                   15°32'E        53°26'N
Irządze                 19°41'E        50°38'N
Istebna                 18°54'E        49°34'N
Iwaniska                21°16'E        50°44'N
Iwanowice               19°59'E        50°14'N
Iwierzyce               21°46'E        50°02'N
Iwkowa                  20°35'E        49°50'N
Iwonicz-Zdrój           21°48'E        49°34'N
Izbica                  23°10'E        50°54'N
Izbica Kujawska         18°46'E        52°25'N
Izbicko                 18°10'E        50°34'N
Jabłonka                19°42'E        49°29'N
Jabłonna (lubelskie)    22°36'E        51°05'N
Jabłonna (warszawskie)  20°54'E        52°23'N
Jabłonna Lacka          22°27'E        52°29'N
Jabłonowo               19°04'E        53°24'N
Jabłonowo Pomorskie     19°04'E        53°24'N
Jabłoń                  23°05'E        51°43'N
Jadów                   21°38'E        52°29'N
Jaktorów                20°32'E        52°05'N
Jakubów                 21°41'E        52°13'N
Janikowo                18°06'E        52°45'N
Janowice Wielkie        15°55'E        50°53'N
Janowiec                21°54'E        51°19'N
Janowiec Kościelny      20°31'E        53°18'N
Janowiec Wielkopolski   17°29'E        52°45'N
Janowo                  20°40'E        53°19'N
Janów (częstochowskie)  19°26'E        50°43'N
Janów (białostockie)    23°14'E        53°28'N
Janów Lubelski          22°25'E        50°42'N
Janów Podlaski          23°13'E        52°12'N
Jaraczewo               17°18'E        51°58'N
Jarczów                 23°35'E        50°26'N
Jarocin (tarnobrzeskie) 22°20'E        50°34'N
Jarocin (kaliskie)      17°30'E        51°58'N
Jarosław                22°42'E        50°02'N
Jasienica               18°56'E        49°49'N
